-5,-0.0038539
-4.925,-0.0039353
-4.85,-0.003215
-4.775,-0.0018506
-4.7,-0.00012792
-4.625,0.0015974
-4.55,0.0029719
-4.475,0.0037154
-4.4,0.0036778
-4.325,0.0028687
-4.25,0.001456
-4.175,-0.0002688
-4.1,-0.0019492
-4.025,-0.0032362
-3.95,-0.0038586
-3.875,-0.0036788
-3.8,-0.0027212
-3.725,-0.0011681
-3.65,0.00067581
-3.575,0.0024441
-3.5,0.0037815
-3.425,0.0044151
-3.35,0.0042094
-3.275,0.0031939
-3.2,0.0015585
-3.125,-0.0003837
-3.05,-0.0022579
-2.975,-0.0037013
-2.9,-0.0044346
-2.825,-0.0043172
-2.75,-0.003375
-2.675,-0.0017945
-2.6,0.00011385
-2.525,0.0019774
-2.45,0.0034353
-2.375,0.0042097
-2.3,0.00416
-2.225,0.0033102
-2.15,0.001843
-2.075,6.2196e-05
-2,-0.0016685
-1.925,-0.002999
-1.85,-0.0036627
-1.775,-0.0035301
-1.7,-0.0026341
-1.625,-0.0011631
-1.55,0.00057774
-1.475,0.002228
-1.4,0.0034454
-1.325,0.003975
-1.25,0.0037013
-1.175,0.0026721
-1.1,0.0010895
-1.025,-0.00072978
-0.95,-0.0024176
-0.875,-0.0036283
-0.8,-0.0041075
-0.725,-0.003744
-0.65,-0.0025924
-0.575,-0.00086305
-0.5,0.0011194
-0.425,0.0029801
-0.35,0.004369
-0.275,0.0050307
-0.2,0.0048571
-0.125,0.0039126
-0.05,0.0024318
0.025,0.0010841
0.1,0.00040966
0.175,-0.0001986
0.25,-0.00076558
0.325,-0.0012954
0.4,-0.0017857
0.475,-0.0022319
0.55,-0.0026292
0.625,-0.0029734
0.7,-0.003262
0.775,-0.0034939
0.85,-0.0036702
0.925,-0.0037934
1,-0.0038679
1.075,-0.0038992
1.15,-0.0038937
1.225,-0.0038582
1.3,-0.0037992
1.375,-0.003723
1.45,-0.0036346
1.525,-0.003538
1.6,-0.0034356
1.675,-0.0033283
1.75,-0.0032153
1.825,-0.0030944
1.9,-0.0029624
1.975,-0.0028151
2.05,-0.0026478
2.125,-0.0024559
2.2,-0.0022351
2.275,-0.0019819
2.35,-0.0016941
2.425,-0.001371
2.5,-0.0010135
2.575,-0.00062437
2.65,-0.00020796
2.725,0.00022959
2.8,0.00068081
2.875,0.0011372
2.95,0.0015895
3.025,0.0020282
3.1,0.0024441
3.175,0.0028286
3.25,0.0031741
3.325,0.0034744
3.4,0.0037248
3.475,0.0039226
3.55,0.0040669
3.625,0.0041584
3.7,0.0041997
3.775,0.0041947
3.85,0.0041485
3.925,0.0040668
4,0.0039559
4.075,0.0038218
4.15,0.0036704
4.225,0.0035066
4.3,0.0033346
4.375,0.0031571
4.45,0.0029759
4.525,0.0027913
4.6,0.0026022
4.675,0.0024068
4.75,0.0022024
4.825,0.0019855
4.9,0.0017528
4.975,0.0015009
5.05,0.0012268
5.125,0.00092857
5.2,0.00060508
5.275,0.00025658
5.35,-0.00011533
5.425,-0.0005076
5.5,-0.00091578
5.575,-0.0013342
5.65,-0.001756
5.725,-0.0021736
5.8,-0.002579
5.875,-0.0029638
5.95,-0.00332
6.025,-0.0036401
6.1,-0.0039174
6.175,-0.0041465
6.25,-0.0043232
6.325,-0.004445
6.4,-0.004511
6.475,-0.0045216
6.55,-0.0044792
6.625,-0.0043872
6.7,-0.0042503
6.775,-0.004074
6.85,-0.0038645
6.925,-0.0036282
7,-0.0033715
7.075,-0.0031004
7.15,-0.0028204
7.225,-0.0025362
7.3,-0.0022514
7.375,-0.0019685
7.45,-0.0016891
7.525,-0.0014136
7.6,-0.0011414
7.675,-0.00087131
7.75,-0.00060129
7.825,-0.00032913
7.9,-5.2471e-05
7.975,0.00023087
8.05,0.00052264
8.125,0.00082393
8.2,0.001135
8.275,0.0014551
8.35,0.0017826
8.425,0.0021145
8.5,0.0024469
8.575,0.0027751
8.65,0.0030935
8.725,0.003396
8.8,0.0036761
8.875,0.0039272
8.95,0.0041432
9.025,0.0043181
9.1,0.004447
9.175,0.0045258
9.25,0.0045514
9.325,0.0045222
9.4,0.004438
9.475,0.0042997
9.55,0.00411
9.625,0.0038723
9.7,0.0035917
9.775,0.0032737
9.85,0.0029249
9.925,0.002552
10,0.0021622
