"f","p","u.x:0","u.x:1","u.x:2","Points:0","Points:1","Points:2"
0.5,0,26.70162,-0.011090326,0,-37.790572,-6.7229412e-05,0
0.5,0,26.702733,-0.012388877,0,-37.7998,-6.7221939e-05,0
0.5,0,26.699792,-0.010047086,0,-37.781343,-6.7171051e-05,0
0.5,0,26.697814,-0.010090808,0,-37.772115,-6.7000786e-05,0
0.5,0,26.696177,-0.0096118206,0,-37.762886,-6.6761677e-05,0
0.5,0,26.69615,-0.0090224327,0,-37.753658,-6.648529e-05,0
0.5,0,26.696739,-0.0084677009,0,-37.744429,-6.6188786e-05,0
0.5,0,26.696615,-0.0080791911,0,-37.735201,-6.5857809e-05,0
0.5,0,26.695432,-0.0078515769,0,-37.725972,-6.5476024e-05,0
0.5,0,26.693832,-0.0077490159,0,-37.716744,-6.5030023e-05,0
0.5,0,26.692667,-0.007642169,0,-37.707515,-6.4522815e-05,0
0.5,0,26.692409,-0.0074517386,0,-37.698287,-6.397847e-05,0
0.5,0,26.693067,-0.007276475,0,-37.689058,-6.3418965e-05,0
0.5,0,26.694348,-0.0072532676,0,-37.67983,-6.2846222e-05,0
0.5,0,26.695848,-0.0073759033,0,-37.670601,-6.2253172e-05,0
0.5,0,26.697202,-0.0075103752,0,-37.661373,-6.1643956e-05,0
0.5,0,26.698157,-0.0075390553,0,-37.652145,-6.1037818e-05,0
0.5,0,26.69856,-0.0074507123,0,-37.642916,-6.0455942e-05,0
0.5,0,26.698342,-0.007312843,0,-37.633688,-5.9906567e-05,0
0.5,0,26.697557,-0.0071899653,0,-37.624459,-5.9380999e-05,0
0.5,0,26.696411,-0.0070930455,0,-37.615231,-5.8863019e-05,0
0.5,0,26.695241,-0.0069924042,0,-37.606002,-5.8343178e-05,0
0.5,0,26.69439,-0.0068683903,0,-37.596774,-5.7824584e-05,0
0.5,0,26.694103,-0.0067473183,0,-37.587545,-5.7315583e-05,0
0.5,0,26.694428,-0.0066842231,0,-37.578317,-5.681861e-05,0
0.5,0,26.695188,-0.0067114055,0,-37.569088,-5.6327955e-05,0
0.5,0,26.696117,-0.0068059604,0,-37.55986,-5.5837935e-05,0
0.5,0,26.696956,-0.0069079533,0,-37.550631,-5.535147e-05,0
0.5,0,26.697446,-0.0069717059,0,-37.541403,-5.4880126e-05,0
0.5,0,26.697436,-0.0069982552,0,-37.532174,-5.4436409e-05,0
0.5,0,26.697018,-0.007019842,0,-37.522946,-5.402613e-05,0
0.5,0,26.696423,-0.0070583096,0,-37.513718,-5.364717e-05,0
0.5,0,26.695821,-0.0071030216,0,-37.504489,-5.3294044e-05,0
0.5,0,26.695259,-0.0071300781,0,-37.495261,-5.2962202e-05,0
0.5,0,26.694717,-0.0071354772,0,-37.486032,-5.2647865e-05,0
