"f","p","u.x:0","u.x:1","u.x:2","Points:0","Points:1","Points:2"
0.5,0,26.673447,-0.019514894,0,-37.790572,-5.5856932e-06,0
0.5,0,26.698039,-0.01979516,0,-37.7998,-5.4389395e-06,0
0.5,0,26.65907,-0.019242609,0,-37.781343,-5.8082957e-06,0
0.5,0,26.674831,-0.018624378,0,-37.772115,-5.9972134e-06,0
0.5,0,26.67631,-0.018310575,0,-37.762886,-6.1128009e-06,0
0.5,0,26.670134,-0.0191448,0,-37.753658,-5.9949232e-06,0
0.5,0,26.671565,-0.019797961,0,-37.744429,-5.6516673e-06,0
0.5,0,26.679048,-0.019401695,0,-37.735201,-5.206193e-06,0
0.5,0,26.683883,-0.018229073,0,-37.725972,-4.8201069e-06,0
0.5,0,26.684933,-0.017051092,0,-37.716744,-4.5545285e-06,0
0.5,0,26.687888,-0.015953765,0,-37.707515,-4.4200759e-06,0
0.5,0,26.696251,-0.014868099,0,-37.698287,-4.4342748e-06,0
0.5,0,26.706108,-0.014146808,0,-37.689058,-4.574786e-06,0
0.5,0,26.711665,-0.014108719,0,-37.67983,-4.7397495e-06,0
0.5,0,26.710239,-0.014545249,0,-37.670601,-4.8069082e-06,0
0.5,0,26.701772,-0.015003438,0,-37.661373,-4.7214806e-06,0
0.5,0,26.687811,-0.015271264,0,-37.652145,-4.4982791e-06,0
0.5,0,26.669382,-0.015449221,0,-37.642916,-4.1640678e-06,0
0.5,0,26.647556,-0.015673325,0,-37.633688,-3.7308249e-06,0
0.5,0,26.624048,-0.01584378,0,-37.624459,-3.2189129e-06,0
0.5,0,26.600968,-0.015693238,0,-37.615231,-2.6861336e-06,0
0.5,0,26.580226,-0.015098943,0,-37.606002,-2.2185893e-06,0
0.5,0,26.562907,-0.014254101,0,-37.596774,-1.8862234e-06,0
0.5,0,26.549074,-0.013501499,0,-37.587545,-1.7053114e-06,0
0.5,0,26.537978,-0.013041312,0,-37.578317,-1.6382852e-06,0
0.5,0,26.5288,-0.012857773,0,-37.569088,-1.6207978e-06,0
0.5,0,26.521389,-0.012880183,0,-37.55986,-1.5860014e-06,0
0.5,0,26.515828,-0.013107463,0,-37.550631,-1.4682925e-06,0
0.5,0,26.511658,-0.013605955,0,-37.541403,-1.2015518e-06,0
0.5,0,26.508115,-0.014257759,0,-37.532174,-7.3632653e-07,0
0.5,0,26.504721,-0.014713427,0,-37.522946,-6.7557705e-08,0
0.5,0,26.504411,-0.014693451,0,-37.52216,-2.5804012e-15,0
0.5,0,26.241332,-0.010295904,0,-37.172264,-4.8872685e-07,0
0.5,0,26.242221,-0.01041673,0,-37.18108,-2.5804012e-15,0
0.5,0,26.242653,-0.010241225,0,-37.163036,-1.062128e-06,0
0.5,0,26.24615,-0.010307921,0,-37.153807,-1.6771017e-06,0
0.5,0,26.251176,-0.010500753,0,-37.144579,-2.3083437e-06,0
0.5,0,26.257115,-0.010773883,0,-37.13535,-2.9350413e-06,0
0.5,0,26.263557,-0.011041494,0,-37.126122,-3.5479579e-06,0
0.5,0,26.27027,-0.011218566,0,-37.116893,-4.1517103e-06,0
0.5,0,26.277103,-0.01126269,0,-37.107665,-4.7605673e-06,0
0.5,0,26.283924,-0.011187783,0,-37.098437,-5.3902104e-06,0
0.5,0,26.2906,-0.01105148,0,-37.089208,-6.0498097e-06,0
0.5,0,26.297024,-0.010931198,0,-37.07998,-6.7372552e-06,0
0.5,0,26.303124,-0.01089717,0,-37.070751,-7.4390101e-06,0
0.5,0,26.308849,-0.010986748,0,-37.061523,-8.1344023e-06,0
0.5,0,26.314121,-0.011194899,0,-37.052294,-8.8022724e-06,0
0.5,0,26.318811,-0.011487833,0,-37.043066,-9.4267758e-06,0
0.5,0,26.322772,-0.011825666,0,-37.033837,-9.999727e-06,0
0.5,0,26.325911,-0.01217896,0,-37.024609,-1.0518994e-05,0
0.5,0,26.328284,-0.012531202,0,-37.01538,-1.0985177e-05,0
0.5,0,26.330123,-0.012869275,0,-37.006152,-1.1398787e-05,0
0.5,0,26.331771,-0.01317118,0,-36.996923,-1.1758857e-05,0
0.5,0,26.333559,-0.013399283,0,-36.987695,-1.2064597e-05,0
0.5,0,26.335673,-0.01350654,0,-36.978466,-1.2319113e-05,0
0.5,0,26.33812,-0.01345575,0,-36.969238,-1.253179e-05,0
0.5,0,26.340768,-0.013236231,0,-36.96001,-1.2717774e-05,0
0.5,0,26.343463,-0.01286704,0,-36.950781,-1.2895031e-05,0
