"f","p","u.x:0","u.x:1","u.x:2","Points:0","Points:1","Points:2"
0.5,0,26.721292,0.070204996,0,-37.790572,-0.00038650221,0
0.5,0,26.708376,0.071916132,0,-37.7998,-0.00038792961,0
0.5,0,26.737017,0.070536162,0,-37.781343,-0.0003830261,0
0.5,0,26.739239,0.073064411,0,-37.772115,-0.00037820507,0
0.5,0,26.740502,0.074909596,0,-37.762886,-0.00037205985,0
0.5,0,26.74546,0.077979283,0,-37.753658,-0.00036491556,0
0.5,0,26.749903,0.080922299,0,-37.744429,-0.00035703616,0
0.5,0,26.751273,0.082939713,0,-37.735201,-0.00034850033,0
0.5,0,26.752135,0.084243514,0,-37.725972,-0.00033937577,0
0.5,0,26.755019,0.084790558,0,-37.716744,-0.00032974552,0
0.5,0,26.759083,0.084332304,0,-37.707515,-0.00031965236,0
0.5,0,26.761952,0.083211848,0,-37.698287,-0.0003091548,0
0.5,0,26.762738,0.082063706,0,-37.689058,-0.00029839658,0
0.5,0,26.762417,0.081175946,0,-37.67983,-0.00028758164,0
0.5,0,26.762054,0.080464605,0,-37.670601,-0.00027691363,0
0.5,0,26.761563,0.079668544,0,-37.661373,-0.00026655939,0
0.5,0,26.760212,0.07844255,0,-37.652145,-0.00025662887,0
0.5,0,26.757786,0.076583457,0,-37.642916,-0.00024717938,0
0.5,0,26.754941,0.07427258,0,-37.633688,-0.00023826041,0
0.5,0,26.752616,0.071908985,0,-37.624459,-0.0002299591,0
0.5,0,26.751393,0.069654582,0,-37.615231,-0.00022238978,0
0.5,0,26.751407,0.067260355,0,-37.606002,-0.00021563818,0
0.5,0,26.752584,0.064356115,0,-37.596774,-0.00020972518,0
0.5,0,26.754747,0.060825019,0,-37.587545,-0.00020462515,0
0.5,0,26.757557,0.056896219,0,-37.578317,-0.00020031486,0
0.5,0,26.760513,0.052973337,0,-37.569088,-0.00019681051,0
0.5,0,26.763119,0.049408949,0,-37.55986,-0.00019417298,0
0.5,0,26.765035,0.046357137,0,-37.550631,-0.00019248608,0
0.5,0,26.766086,0.043734862,0,-37.541403,-0.00019182235,0
0.5,0,26.766213,0.04129155,0,-37.532174,-0.00019221251,0
0.5,0,26.765485,0.038760494,0,-37.522946,-0.00019363316,0
0.5,0,26.764218,0.036015943,0,-37.513718,-0.00019601852,0
0.5,0,26.76299,0.033134154,0,-37.504489,-0.00019928821,0
0.5,0,26.762466,0.030318373,0,-37.495261,-0.00020337234,0
0.5,0,26.763052,0.02775009,0,-37.486032,-0.00020821799,0
0.5,0,26.764629,0.025485477,0,-37.476804,-0.00021377751,0
0.5,0,26.766543,0.023473354,0,-37.467575,-0.00021999238,0
0.5,0,26.767881,0.02164765,0,-37.458347,-0.00022678672,0
0.5,0,26.767888,0.019988494,0,-37.449118,-0.00023407273,0
0.5,0,26.76631,0.018508018,0,-37.43989,-0.00024175822,0
0.5,0,26.763516,0.017208236,0,-37.430661,-0.00024974907,0
0.5,0,26.760366,0.016086251,0,-37.421433,-0.00025794981,0
0.5,0,26.757895,0.015187401,0,-37.412204,-0.00026626922,0
0.5,0,26.756936,0.014630686,0,-37.402976,-0.00027463177,0
0.5,0,26.757834,0.014556807,0,-37.393747,-0.00028298479,0
0.5,0,26.760342,0.015026624,0,-37.384519,-0.00029129194,0
0.5,0,26.763754,0.015950616,0,-37.375291,-0.00029951346,0
0.5,0,26.767195,0.017111514,0,-37.366062,-0.00030758465,0
0.5,0,26.769947,0.018269394,0,-37.356834,-0.00031540606,0
