"f","p","u.x:0","u.x:1","u.x:2","Points:0","Points:1","Points:2"
0.5,0,26.69969,-0.017976112,0,-37.790572,-8.971739e-05,0
0.5,0,26.701927,-0.01970855,0,-37.7998,-8.9598764e-05,0
0.5,0,26.697798,-0.016933157,0,-37.781343,-8.993395e-05,0
0.5,0,26.697988,-0.01767227,0,-37.772115,-9.0145496e-05,0
0.5,0,26.697872,-0.017784133,0,-37.762886,-9.0359251e-05,0
0.5,0,26.698102,-0.017487535,0,-37.753658,-9.0603096e-05,0
0.5,0,26.698451,-0.01673701,0,-37.744429,-9.0949032e-05,0
0.5,0,26.698602,-0.016178533,0,-37.735201,-9.1376153e-05,0
0.5,0,26.698173,-0.015962697,0,-37.725972,-9.1815679e-05,0
0.5,0,26.696811,-0.01588138,0,-37.716744,-9.222312e-05,0
0.5,0,26.694641,-0.015811663,0,-37.707515,-9.2582596e-05,0
0.5,0,26.692284,-0.015654952,0,-37.698287,-9.2892524e-05,0
0.5,0,26.690418,-0.01526656,0,-37.689058,-9.3169183e-05,0
0.5,0,26.689387,-0.014643842,0,-37.67983,-9.3438888e-05,0
0.5,0,26.689167,-0.013994552,0,-37.670601,-9.3711004e-05,0
0.5,0,26.689485,-0.013553396,0,-37.661373,-9.396386e-05,0
0.5,0,26.689989,-0.013380374,0,-37.652145,-9.4162561e-05,0
0.5,0,26.690411,-0.013324508,0,-37.642916,-9.4288601e-05,0
0.5,0,26.690647,-0.013181691,0,-37.633688,-9.435097e-05,0
0.5,0,26.690738,-0.012852566,0,-37.624459,-9.4375977e-05,0
0.5,0,26.690781,-0.012376605,0,-37.615231,-9.4390152e-05,0
0.5,0,26.690828,-0.011900635,0,-37.606002,-9.440505e-05,0
0.5,0,26.690881,-0.011577732,0,-37.596774,-9.4412148e-05,0
0.5,0,26.69094,-0.01144638,0,-37.587545,-9.4392725e-05,0
0.5,0,26.691016,-0.011412443,0,-37.578317,-9.4335975e-05,0
0.5,0,26.691116,-0.011337678,0,-37.569088,-9.4251357e-05,0
0.5,0,26.691239,-0.011148376,0,-37.55986,-9.4165216e-05,0
0.5,0,26.691371,-0.01088737,0,-37.550631,-9.4105487e-05,0
0.5,0,26.691471,-0.010673801,0,-37.541403,-9.4087144e-05,0
0.5,0,26.691455,-0.010616644,0,-37.532174,-9.410803e-05,0
0.5,0,26.691235,-0.010751704,0,-37.522946,-9.415611e-05,0
0.5,0,26.690778,-0.011030827,0,-37.513718,-9.4221262e-05,0
0.5,0,26.690184,-0.011364681,0,-37.504489,-9.4303337e-05,0
0.5,0,26.689686,-0.011676546,0,-37.495261,-9.4412727e-05,0
0.5,0,26.68956,-0.011926521,0,-37.486032,-9.4565692e-05,0
0.5,0,26.68996,-0.012106857,0,-37.476804,-9.4779375e-05,0
0.5,0,26.690816,-0.012229788,0,-37.467575,-9.5068328e-05,0
0.5,0,26.691858,-0.012327727,0,-37.458347,-9.5441396e-05,0
0.5,0,26.692777,-0.012451089,0,-37.449118,-9.5898709e-05,0
0.5,0,26.693388,-0.012640552,0,-37.43989,-9.6431003e-05,0
0.5,0,26.693815,-0.0129062,0,-37.430661,-9.7024236e-05,0
0.5,0,26.694253,-0.013188906,0,-37.421433,-9.7665777e-05,0
0.5,0,26.694882,-0.013210638,0,-37.412204,-9.8344164e-05,0
0.5,0,26.696188,-0.012960441,0,-37.402976,-9.9053854e-05,0
0.5,0,26.697818,-0.0129971,0,-37.393747,-9.9800085e-05,0
0.5,0,26.698852,-0.013308717,0,-37.384519,-0.00010058218,0
0.5,0,26.6994,-0.013411597,0,-37.375291,-0.00010138679,0
0.5,0,26.699527,-0.013340932,0,-37.366062,-0.00010219606,0
0.5,0,26.698873,-0.013258623,0,-37.356834,-0.00010299188,0
0.5,0,26.697528,-0.013124175,0,-37.347605,-0.00010376215,0
0.5,0,26.695852,-0.01288688,0,-37.338377,-0.00010450235,0
0.5,0,26.694269,-0.012556651,0,-37.329148,-0.00010521099,0
0.5,0,26.69321,-0.01218135,0,-37.31992,-0.0001058833,0
0.5,0,26.692999,-0.011824174,0,-37.310691,-0.00010650737,0
0.5,0,26.693756,-0.01153368,0,-37.301463,-0.00010706554,0
0.5,0,26.69536,-0.011320965,0,-37.292234,-0.00010753979,0
0.5,0,26.697474,-0.011160502,0,-37.283006,-0.00010791808,0
0.5,0,26.699632,-0.011007606,0,-37.273777,-0.00010819844,0
0.5,0,26.701369,-0.01082076,0,-37.264549,-0.00010838939,0
0.5,0,26.702344,-0.010578947,0,-37.25532,-0.00010850746,0
0.5,0,26.702437,-0.010287482,0,-37.246092,-0.00010857313,0
0.5,0,26.701764,-0.0099753655,0,-37.236864,-0.00010860691,0
0.5,0,26.700626,-0.0096859125,0,-37.227635,-0.0001086261,0
